takeoff,takeoff_no,landing,duration,distance,competitors_no,result_place,date,desc,max_alt,max_lift,glider
Smucisce Zabocev,1,"",1,-nan,-nan,-nan,"1997-07-07",Prvic tu s Slavcem se nisva pobrala,null,null,rox
Zavrh,1,"",7,-nan,-nan,-nan,"1997-07-08",Juri je pobral jaz sem pa scuru (drugic bom opazoval),null,1,rox
Zabocev,1,"",135,19000,-nan,-nan,"1997-07-08",Poberanje na smuciscu let v Novo Vas,2320,4.5,rox
Lijak,1,"",10,-nan,-nan,-nan,"1997-07-11",Vse pokrito kasneje ploha kasneje odprtje lijaka,null,0.2,rox
Kovk,1,"",25,-nan,-nan,-nan,"1997-07-11",Po startu takoj nad vipavo tam pa jadrat. Kovk ni drzav.,null,1,rox
Ambroz,1,"",255,33460,9,5mesto,"1997-07-12",Start Ambroz Krvavec-Krizka Gora-Ambroz polet je trajal 4ure,2324,4.9,rox
Zabocev,1,"",10,-nan,-nan,null,"1997-07-15",Curjenje 3krat-tudi Zuna,null,1,rox
Zabocev,1,"",10,-nan,-nan,null,"1997-07-15",Curjenje 3krat-tudi Zuna,null,1,rox
Zabocev,1,"",10,-nan,-nan,null,"1997-07-15",Curjenje 3krat-tudi Zuna,null,1,rox
Strmca,1,"",95,-nan,-nan,null,"1997-07-18",Strmicarsko jadranje - vse je drzal,1050,1,rox
Lijak,1,"",48,-nan,-nan,null,"1997-07-19",Lepo jadranje samo kasneje je bilo treba bezat pred nevihto,1450,4.5,rox
Zavrh,1,"",10,-nan,-nan,null,"1997-07-20",Curjenje jaz in Slavc,null,0,rox
Gaber,1,"",16,-nan,-nan,null,"1997-07-21",vse je bilo pregreto zato smo jadrali na pobocnik in scurili,450,1.2,rox
Samotorca,1,"",8,-nan,-nan,null,"1997-07-22",Kocevar in jaz - obtekanje zahodnika - rotorji na startu,null,0,rox
Strmca,1,"",62,-nan,-nan,null,"1997-07-22",peglanje- wingoverji - polovicno zapiranje,955,1.5,rox
Sr.Vrh,1,"",75,-nan,-nan,null,"1997-07-25",Sreca da smo letel saj je prej padal dz.,1305,2.5,rox
Zabocev,1,"",202,-nan,-nan,null,"1997-07-26",Jadranje okoli zabocevga-zelo zaneseni stbr-erzo sel na Primoza,1900,3.9,rox
Slivnica,1,"",190,18000,-nan,null,"1997-07-30",Lep dan za prelet-let slivnica sodrazica-stoti letalni dan,2450,5,rox
Slivnica,1,"",30,18000,-nan,null,"1997-07-30",Lep dan za prelet-let slivnica sodrazica-stoti letalni dan,2450,5,rox
Lisca,1,"",30,-nan,-nan,null,"1997-08-01",Peglanje okoli Lisce - mocan sever start ta severni start,null,2,rox
Lisca,1,"",35,-nan,-nan,null,"1997-08-01",Peglanje okoli Lisce - mocan sever start ta severni start,null,2,rox
Lisca,1,"",155,36000,-nan,null,"1997-08-02",Liga tekma na lisci - strikanje lisca obratna radece lisca radece,1787,3.5,rox
Slivnica,1,"",25,-nan,-nan,null,"1997-08-03",Matranje na Slivnici velik zanos z erzotom sva zgolfala 25min,null,1,rox
Strmca,1,"",30,-nan,-nan,null,"1997-08-04",Strmca za scurit sam sem bil najvisji in sem sel sam dol z vingoverji,978,1,rox
Zabocevo,1,"",110,-nan,-nan,null,"1997-08-06",Jadranje na zabocevem pobiranje nekoliko nad smuciscem,950,1,rox
Zavrh,1,"",80,-nan,-nan,null,"1997-08-08",Drzavn prvenstvo odpadu jadranje na zavrhu,1150,2.2,rox
Zavrh,1,"",120,22500,-nan,null,"1997-08-09",Start Zavrh - Kalce- predjama super!!!,1900,3.5,rox
Krizka,1,"",120,18200,80,44mesto,"1997-08-10",DP prva tekma v preletih glede na ostale nisem slab,2000,4.5,rox
Krizka,1,"",120,23000,80,16mesto,"1997-08-11",DP drugi dan -Krizka predvor senicno trstenik,2014,3.4,rox
Krizka,1,"",300,67700,80,26mesto,"1997-08-12",DP disciplina Krizka-Jakob-senicno-Jakob-Ratece 84km pristal sem v mojstrani,2387,5.3,rox
Krizka,1,"",95,12200,80,44mesto,"1997-08-13",DP Krizka Predvor Gozd Krvavec Cirku pod storzicem Predvor,2320,3.5,rox
Kovk,1,"",105,-nan,80,null,"1997-08-14",DP Tekma odpadla zaradi nevihtnega oblaka nad ajdovsno Disciplina kovk-nanos-lijak-ajdovscina,2503,2.9,rox
Strmca,1,"",30,-nan,-nan,null,"1997-08-14",Tekma na piko osvojil sem prvo mesto,null,1,rox
Krvavec,1,"",113,28000,80,25mesto,"1997-08-15",DP disciplina Krvavec-Begunje disciplino sem opravil,1841,3.9,rox
Samotorca,1,"",10,-nan,-nan,null,"1997-08-16",Grega je hotel napraviti XC trikotnik nazadnje sva oba scurla,null,0.6,rox
Zavrh,1,"",46,9000,-nan,null,"1997-08-19",Let iz Zavrha na Staro Vrhniko,1233,2.6,rox
Zavrh,1,"",45,7000,-nan,null,"1997-08-20",Let na Vrhniko visina 1401m,1401,3.5,rox
Zavrh,1,"",8,7000,-nan,null,"1997-08-20",Let na Vrhniko visina 1401m,1401,3.5,rox
Zavrh,1,"",105,18000,-nan,null,"1997-08-21",Let Zavrh Logatec 1500 Ravnik pred Hotedrsco,1720,3.5,rox
Ambroz,1,"",275,46560,-nan,null,"1997-08-22",Napovedan XC Ambroz Ratece  pristal sem pred mojstrano,2070,3.5,rox
Lijak,1,"",75,18500,-nan,null,"1997-08-23",Napovedan XC Lijak Kozina pristal pa sem Smarje pri Braniku,1920,5.1,rox
Lijak,1,"",35,18500,-nan,null,"1997-08-23",Napovedan XC Lijak Kozina pristal pa sem Smarje pri Braniku,1920,5.1,rox
Samotorca,1,"",5,-nan,-nan,null,"1997-08-24",Curjenje na Samotorci-Jaz,Grega,Miha,null,0.5,rox
Strmca,1,"",55,-nan,-nan,null,"1997-08-24",Najvisji na Strmci - usesa-wingoverji-wingoverji,1160,1,rox
Krvavec,1,"",90,-nan,-nan,null,"1997-08-25",PWC prvi dan sam sem letelzraven -tekmovala sta Slavc in Erzo,1690,4.1,rox
Lijak,1,"",215,34690,-nan,null,"1997-08-29",XC napoved Ilirska bistrica -poizkus vrhnika let do Razdrtga,1870,3.5,rox
Zabocevo,1,"",31,-nan,-nan,null,"1997-08-30",Matranje pod krimsckom -erzoGrega Salavc so startali za mano in pristali pred mano,null,1.3,rox
Ambroz,1,"",45,-nan,-nan,null,"1997-08-30",Cudovit razgled skoraj do Ratec Grega in jaz sva jadrala na 2040m,2040,3,rox
Zabocevo,1,"",165,31300,-nan,null,"1997-08-31",XC napoved Ilirska B. Start Zabocevo pristal sem v Pivki,1770,2.5,rox
Slivnica,1,"",111,18610,-nan,null,"1997-09-01",Prosti prelet Slivnica Zelimlje,2014,3.5,rox
Zavrh,1,"",35,-nan,-nan,null,"1997-09-02",Jadranje na Zavrhu najvisji,1490,2.5,rox
Srednji Vrh,1,"",95,16640,-nan,null,"1997-09-03",Srednji Vrh 2020m smer Postojna-v postojni vzhodnik -pristanek v Pivki,2260,3,rox
Slivnica,1,"",115,13050,-nan,null,"1997-09-04",Slivnica trikrat navit potem pa let na Zabocevo. Ta dan sem bil edini,2130,2.5,rox
Lijak N.G.,1,"",128,32220,-nan,null,"1997-09-05",Napoved Lijak Vrhnika -pristanek Hotedsica prvic na kovku cez,1702,3.5,rox
Lijak N.G.,1,"",95,10000,-nan,null,"1997-09-06",Tega dne je kurirckova zahtevala veliko zrtev. Z 1300m pri cavnu sem scuril direkt v ajdovscino.,1525,3.5,rox
Strmca,1,"",60,-nan,-nan,null,"1997-09-06",Strmicarjenje-wingoverji ,frontalci...,1024,1.5,rox
Zabocevo,1,"",97,-nan,-nan,null,"1997-09-07",Jadranje na Zabocevem - termika in splosni iz desne-ozki in raztrgani stbri baza 1626m,1626,4.9,rox
Zavrh,1,"",8,-nan,-nan,null,"1997-09-09",Cel dan mocan vzhodnik zvecer pa smo se pometali v nulo,null,0.3,rox
Kovk,1,"",20,-nan,-nan,null,"1997-09-10",Bilo je zelo svoh zato smo po dolocenem casu scurili,840,1,rox
Strmca,1,"",20,-nan,-nan,null,"1997-09-11",Zelo nizka baza jadranje pred strmco in pristanek na strmci -Erzo je scuru,950,1,rox
SV. Ana,1,"",4,-nan,-nan,null,"1997-09-15",Prvic poletel z Svete Ane pri podpeci cel dan je bilo premocno za letet zvecer pa sva z Erzotom odletela,null,0,rox
Srednji Vrh,1,"",115,-nan,-nan,null,"1997-09-17",Jadranje na suho termiko spet posteno jadranje po nekem casu STO ur z RoXom,1567,3,rox
Srednji Vrh,1,"",100,-nan,-nan,null,"1997-09-18",Suha termika jadranje na 2200m super za ta obdobje,2201,2.9,rox
Sveta Ana,1,"",33,-nan,-nan,null,"1997-09-19",Prvi Vrhnican ki je vzletel in jadral na Sv Ani,633,1.1,rox
Braslovce,1,"",8,-nan,-nan,null,"1997-09-20",Slaba uvrstitev na tekmi pa zato bolsi trening za jadranje,1370,2.9,rox
Braslovce,1,"",113,-nan,-nan,null,"1997-09-20",Slaba uvrstitev na tekmi pa zato bolsi trening za jadranje,1370,2.9,rox
Srednji Vrh,1,"",86,18500,-nan,null,"1997-09-22",Testiranje Jurijevga Parateha P6C mal hitrejsi mal bol planira pa mal bol navarn,2101,3.4,P6C
Ulovka,1,"",3,-nan,100,14mesto,"1997-09-26",Tekma za drzavno prvenstvo pokla Orel na Ulovki,null,0,rox
Ulovka,1,"",5,-nan,100,14mesto,"1997-09-26",Tekma za drzavno prvenstvo pokla Orel na Ulovki,null,0,rox
Zabocevo,1,"",8,-nan,-nan,null,"1997-09-26",Mogoce letos zadnji start na zabocevem,null,0.5,rox
Srednji Vrh,1,"",159,-nan,-nan,null,"1997-09-27",Super jadranje do 1946m,1946,3.2,rox
Zabocevo,1,"",59,-nan,-nan,null,"1997-09-28",Jadranje na Zabocevem testiranje Aireje tension najprej super opcutki potem pa se je pokazala ena velika slabost lahko ti ostane med striki in ga ne resis do tal,1350,3.5,rox
Strmca,2,"",63,-nan,-nan,null,"1997-09-29",Jadranje na na Strmci z Airejo tension testiranje,null,1.5,airea tension
Zavrh,1,"",8,-nan,-nan,null,"1997-09-30",Testni let z Neonom-sektorjem,null,0.5,Neon sector
Zavrh,1,"",90,-nan,-nan,null,"1997-10-02",Letenje na Staro Vrhniko poslikal sem vse,1027,1.8,rox
Srednji Vrh,1,"",87,-nan,-nan,null,"1997-10-03",Jadranje kljub vsemu,1030,2.5,rox
Gaber,2,"",15,-nan,-nan,null,"1997-10-04",Para safari na Ospovski Gaber,450,1,rox
Lijak N.G.,1,"",5,-nan,-nan,null,"1997-10-10",Polet z lijaka na startu je vecinoma pihalo dol,null,null,rox
Zabocevo,1,"",61,13000,-nan,null,"1997-10-12",Jaz podrem Slavc odleti v postojno jaz podrem erzo scuri jez podrem 2X in koncno odletim sredi dolin pod 100m do podna pa stebr potem pa na 1650 od tu pa domov polet je trajal eno uro,1650,2.8,rox
Strmca,1,"",74,-nan,-nan,null,"1997-10-14",Strmicarjenje in trening wingowerjev,1085,2.3,rox
Rahtel,1,"",5,-nan,-nan,16mesto,"1997-10-17",Tekma na piko 3skupno,tretji skupno skupno, Tomaz 2. jaz16.,700,1,rox
Rahtel,1,"",10,-nan,-nan,16mesto,"1997-10-17",Tekma na piko 3skupno,tretji skupno skupno, Tomaz 2. jaz16.,700,1,rox
Rahtel,1,"",31,-nan,-nan,16mesto,"1997-10-17",Tekma na piko 3skupno,tretji skupno skupno, Tomaz 2. jaz16.,700,1,rox
Ulovka,1,"",3,-nan,-nan,null,"1997-10-18",Testiranje Devine-a spust do brunarce,null,null,Divine
Lijak,1,"",131,-nan,-nan,null,"1997-10-18",Jadranje Lijak -caven - lijak - rampa - lijak Testiranje Devine-a,1090,2.5,Divine
Strmca,1,"",31,-nan,-nan,null,"1997-10-19",Strmicarjenje(rezerva),1080,2,Divine
Planina-Stolp,1,"",6,-nan,-nan,null,"1997-10-21",Brezveterje -let ob Kurenu -kar cez sredino doline domov,null,null,rox
Koreno,1,"",5,-nan,-nan,null,"1997-10-22",Testiranje in primerjanje Neona in Devinea,null,null,Neon/Divine
Koreno,1,"",5,-nan,-nan,null,"1997-10-22",Testiranje in primerjanje Neona in Devinea,null,null,Neon/Divine
Sv.Ana,1,"",5,-nan,-nan,null,"1997-10-23",Obtekanje grebena -bingale bongale do tal odletel sem samo jaz,null,1,rox
Planina-Stolp,1,"",62,-nan,-nan,null,"1997-10-23",Jadranje okoli Stolpa Erzo,Jaz,Andrej,Jernej,Slavc pelov sem devinea let preko kurena lahko bi letel preko cele vasi,960,1.9,rox
Lijak,1,"",65,8000,7tekmovalci,7mesto_int,"1997-10-24",Tekma Lijak Sv Marija nasledn gric od Danijela rampa Lijak -Jernej je zmagal erzo Grega Juri Andrej Jaz sem scuru ker sem pretiraval,1300,2.5,rox
Lijak,1,"",28,8000,7tekmovalci,7mesto_int,"1997-10-24",Tekma Lijak Sv Marija nasledn gric od Danijela rampa Lijak -Jernej je zmagal erzo Grega Juri Andrej Jaz sem scuru ker sem pretiraval,1300,2.5,rox
